Silicon Valley,Under Construction,Preleased,New Deliveries,Vacancy
H1 2016,43.5,41.5,10.3,8.8%
H2 2016,37.5,35.5,6.0,6.5%
H1 2017,4.5,4.5,33.0,5.4%
H2 2017,21.0,0.0,29.5,5.1%
H1 2018,28.0,13.5,10.5,4.9%
H2 2018,11.0,0.0,15.8,6.1%
H1 2019,24.0,24.0,11.8,5.4%
H2 2019,12.0,6.0,18.0,3.4%
H1 2020,24.6,15.6,11.8,4.8%
H2 2020,50.1,37.1,12.5,2.3%
H1 2021,85.3,69.8,11.0,1.6%
H2 2021,94.6,71.6,2.5,1.6%
H1 2022,100.6,62.6,56.0,1.3%
H2 2022,141.6,93.1,10.0,2.3%
H1 2023,125.0,73.0,31.1,6.3%
H2 2023,133.0,93.0,17.7,7.3%
H1 2024,154.2,128.7,31.5,6.4%
H2 2024,167.8,131.0,9.2,5.5%
H1 2025,148.8,115.0,16.0,4.5%
H2 2025,144.0,121.4,13.8,4.7%
